row,gazette_page,section,offence,punishment,cognizable_raw,bailable_raw,court
61,163,95,"Hiring, employing or engaging a child to commit an offence.",Imprisonment for not less than 3 years but which may extend to 10 years and fine.,Cognizable.,Non-bailable.,Magistrate of the first class.
62,163,,If offence be committed.,Same as for the offence committed.,Cognizable.,Non-bailable.,Court by which offence committed is triable.
63,163,96,Procuration of child.,Imprisonment for 10 years and fine.,Cognizable.,Non-bailable.,Court of Session.
64,163,97,Kidnapping or abducting a child under ten years with intent to steal from its person.,Imprisonment for 7 years and fine.,Cognizable.,Non-bailable.,Magistrate of the first class.
65,163,98,"Selling child for purposes of prostitution, etc.",Imprisonment for 10 years and fine.,Cognizable.,Non-bailable.,Court of Session.
66,163,99,"Buying child for purposes of prostitution, etc.",Imprisonment for not less than 7 years but which may extend to 14 years and fine.,Cognizable.,Non-bailable.,Court of Session.
67,163,103(1),Murder.,Death or imprisonment for life and fine.,Cognizable.,Non-bailable.,Court of Session.
68,163,103(2),Murder by group of five or more persons.,Death or with imprisonment for life and fine.,Cognizable.,Non-bailable.,Court of Session.
69,163,104,Murder by life-convict.,"Death or imprisonment for life, which shall mean the remainder of that person's natural life.",Cognizable.,Non-bailable.,Court of Session.
70,163,105,"Culpable homicide not amounting to murder, if act by which the death is caused is done with intention of causing death, etc.","Imprisonment for life, or Imprisonment for not less than 5 years but which may extend to 10 years and fine.",Cognizable.,Non-bailable.,Court of Session.
71,163,,"If act be done with knowledge that it is likely to cause death, but without any intention to cause death, etc.",Imprisonment for 10 years and with fine.,Cognizable.,Non-bailable.,Court of Session.
72,163,106(1),Causing death by negligence.,Imprisonment for 5 years and fine.,Cognizable.,Bailable.,Magistrate of the first class.
73,163,,Causing death by negligence by registered medical practitioner.,Imprisonment for 2 years and fine,Cognizable.,Bailable.,Magistrate of the first class.
74,163,106(2),Causing death by rash and negligent driving of vehicle and escaping.,Imprisonment for 10 years and fine.,Cognizable.,Non-bailable.,Magistrate of the first class.
75,163,107,"Abetment of suicide of child or person of unsound mind, etc.","Death, or imprisonment for life, or imprisonment for 10 years and fine.",Cognizable.,Non-bailable.,Court of Session.
76,163,108,Abetment of suicide.,Imprisonment for 10 years and fine.,Cognizable.,Non-bailable.,Court of Session.
77,163,109(1),Attempt to murder.,Imprisonment for 10 years and fine.,Cognizable.,Non-bailable.,Court of Session.
78,164,,If such act causes hurt to any person.,"Imprisonment for life, or as above.",Cognizable.,Non-bailable.,Court of Session.
79,164,109(2),"Attempt by life-convict to murder, if hurt is caused.","Death, or imprisonment for life which shall mean the remainder of that person's natural life.",Cognizable.,Non-bailable.,Court of Session.
80,164,110,Attempt to commit culpable homicide.,"Imprisonment for 3 years, or fine, or both.",Cognizable.,Non-bailable.,Court of Session.
81,164,,If such act causes hurt to any person.,"Imprisonment for 7 years, or fine, or both.",Cognizable.,Non-bailable.,Court of Session.
82,164,111(2)(a),Organised crime resulting in death of any person.,Death or imprisonment for life and fine of not less than 10 lakh rupees.,Cognizable.,Non-bailable.,Court of Session.
83,164,111(2)(b),In any other case.,Imprisonment for not less than 5 years but which may extend to imprisonment for life and fine of not less than 5 lakh rupees.,Cognizable.,Non-bailable.,Court of Session.
84,164,111(3),"Abetting, attempting, conspiring or knowingly facilitating the commission of organised crime.",Imprisonment for not less than 5 years but which may extend to imprisonment for life and fine of not less than 5 lakh rupees.,Cognizable.,Non-bailable.,Court of Session.
85,164,111(4),Being a member of an organised crime syndicate.,Imprisonment for not less than 5 years but which may extend to imprisonment for life and fine of not less than 5 lakh rupees.,Cognizable.,Non-bailable.,Court of Session.
86,164,111(5),Intentionally harbouring or concealing any person who committed offence of organised crime.,Imprisonment for not less than 3 years but which may extend to imprisonment for life and fine of not less than 5 lakh rupees.,Cognizable.,Non-bailable.,Court of Session.
87,164,111(6),"Possessing property derived, or obtained from the commission of organised crime.",Imprisonment for not less than 3 years but which may extend to imprisonment for life and fine of not less than 2 lakh rupees.,Cognizable.,Non-bailable.,Court of Session.
88,164,111(7),Possessing property on behalf of a member of an organised crime syndicate.,Imprisonment for not less than 3 years but which may extend to imprisonment for 10 years and fine of not less than 1 lakh rupees.,Cognizable.,Non-bailable.,Court of Session.
89,164,112,Petty Organised crime.,Imprisonment for not less than 1 year but which may extend to 7 years and fine.,Cognizable.,Non-bailable.,Magistrate of the first class.
90,164,113(2)(a),Terrorist act resulting in the death of any person.,Death or imprisonment for life and fine.,Cognizable.,Non-bailable.,Court of Session.
91,164,113(2)(b),In any other case.,Imprisonment for not less than 5 years but which may extend to imprisonment for life and fine.,Cognizable.,Non-bailable.,Court of Session.
92,164,113(3),"Conspiring, attempting, abetting, etc., or knowingly facilitating the commission of terrorist act.",Imprisonment for not less than 5 years but which may extend to imprisonment for life and fine.,Cognizable.,Non-bailable.,Court of Session.
93,165,113(4),"Organising camps, training, etc., for commission of terrorist act.",Imprisonment for not less than 5 years but which may extend to imprisonment for life and fine.,Cognizable.,Non-bailable.,Court of Session.
94,165,113(5),Being a member of an organisation involved in terrorist act.,Imprisonment for life and fine.,Cognizable.,Non-bailable.,Court of Session.
95,165,113(6),"Harbouring, concealing, etc., of any person who committed a terrorist act.",Imprisonment for not less than 3 years but which may extend to imprisonment for life and fine.,Cognizable.,Non-bailable.,Court of Session.
96,165,113(7),Possessing property derived or obtained from commission of terrorist act.,Imprisonment for life and fine.,Cognizable.,Non-bailable.,Court of Session.
