bns_section,offence,punishment,cognizable,condition,bailable,triable_by,source_ref,notes
117(3),If hurt to results in permanent disability or persistent vegetative state.,Rigorous imprisonment for not less than 10 years but which may extend to imprisonment for life which shall mean the remainder of that person's natural life.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 165",
117(4),Grievous hurt caused by a group of 5 or more persons.,Imprisonment for 7 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 165",
118(1),Voluntarily causing hurt by dangerous weapons or means.,"Imprisonment for 3 years, or fine of 20,000 rupees, or both.",cognizable,,non_bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 165",
118(2),Voluntarily causing grievous hurt by dangerous weapons or means [except as provided in section 122(2)].,Imprisonment for life or imprisonment of not less than 1 year but which may extend to 10 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 165",
119(1),"Voluntarily causing hurt to extort property, or to constrain to an illegal act.",Imprisonment for 10 years and fine.,cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 165",
119(2),Voluntarily causing grievous hurt for any purpose referred to in sub-section (1).,"Imprisonment for life, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 165",
120(1),"Voluntarily causing hurt to extort confession or information, or to compel restoration of property, etc.",Imprisonment for 7 years and fine.,cognizable,,bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 165",
120(2),"Voluntarily causing grievous hurt to extort confession or information, or to compel restoration of property, etc.",Imprisonment for 10 years and fine.,cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 165",
121(1),Voluntarily causing hurt to deter public servant from his duty.,"Imprisonment for 5 years, or fine, or both.",cognizable,,non_bailable,Magistrate of the first class.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 165",
121(2),Voluntarily causing grievous hurt to deter public servant from his duty.,"Imprisonment not less than 1 year, or imprisonment for 10 years and fine.",cognizable,,non_bailable,Court of Session.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 165",
122(1),"Voluntarily causing hurt on grave and sudden provocation, not intending to hurt any other than the person who gave the provocation.","Imprisonment for 1 month, or fine of 5,000 rupees, or both.",non_cognizable,,bailable,Any Magistrate.,"BNSS 2023 First Schedule Pt I, Gazette of India Extraordinary No. 55 (25-12-2023) p. 166",
